condition	seed	template	benchmark	data	instr	baseline_orig	cond_orig	delta_orig	baseline_rep	cond_rep	delta_rep	baseline_pf_orig	cond_pf_orig	baseline_pf_rep	cond_pf_rep
condition-1-en-5k	123	1	belebele	en	en	0.7678	0.7778	+0.0100	0.7678	0.7778	+0.0100	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	belebele	en	es	0.7611	0.7622	+0.0011	0.7611	0.7622	+0.0011	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	belebele	en	ur	0.7411	0.7489	+0.0078	0.7411	0.7489	+0.0078	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	belebele	en	zh	0.7889	0.7889	+0.0000	0.7889	0.7889	+0.0000	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	belebele	es	en	0.6911	0.7000	+0.0089	0.6911	0.7000	+0.0089	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	belebele	es	es	0.6722	0.6733	+0.0011	0.6722	0.6733	+0.0011	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	belebele	es	ur	0.6389	0.6467	+0.0078	0.6389	0.6467	+0.0078	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	belebele	es	zh	0.6956	0.6933	-0.0022	0.6956	0.6933	-0.0022	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	belebele	ur	en	0.6044	0.6089	+0.0044	0.6044	0.6089	+0.0044	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	belebele	ur	es	0.5389	0.5278	-0.0111	0.5389	0.5278	-0.0111	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	belebele	ur	ur	0.5289	0.5289	+0.0000	0.5289	0.5289	+0.0000	0.0044	0.0056	0.0044	0.0056
condition-1-en-5k	123	1	belebele	ur	zh	0.5922	0.6011	+0.0089	0.5922	0.6011	+0.0089	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	belebele	zh	en	0.7500	0.7600	+0.0100	0.7500	0.7600	+0.0100	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	belebele	zh	es	0.7033	0.7011	-0.0022	0.7033	0.7011	-0.0022	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	belebele	zh	ur	0.7011	0.7156	+0.0144	0.7011	0.7156	+0.0144	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	belebele	zh	zh	0.7756	0.7756	+0.0000	0.7756	0.7756	+0.0000	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	csqa	en	en	0.6070	0.6110	+0.0040	0.6070	0.6110	+0.0040	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	csqa	en	es	0.6040	0.6070	+0.0030	0.6040	0.6070	+0.0030	0.0070	0.0010	0.0070	0.0010
condition-1-en-5k	123	1	csqa	en	ur	0.5850	0.5920	+0.0070	0.5850	0.5920	+0.0070	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	csqa	en	zh	0.6410	0.6400	-0.0010	0.6410	0.6400	-0.0010	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	csqa	es	en	0.5240	0.5290	+0.0050	0.5240	0.5290	+0.0050	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	csqa	es	es	0.5290	0.5300	+0.0010	0.5290	0.5300	+0.0010	0.0010	0.0010	0.0010	0.0010
condition-1-en-5k	123	1	csqa	es	ur	0.4730	0.4790	+0.0060	0.4730	0.4790	+0.0060	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	csqa	es	zh	0.5470	0.5440	-0.0030	0.5470	0.5440	-0.0030	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	csqa	ur	en	0.4240	0.4270	+0.0030	0.4240	0.4270	+0.0030	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	csqa	ur	es	0.3960	0.3930	-0.0030	0.3960	0.3930	-0.0030	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	csqa	ur	ur	0.4040	0.3990	-0.0050	0.4040	0.3990	-0.0050	0.0010	0.0000	0.0010	0.0000
condition-1-en-5k	123	1	csqa	ur	zh	0.3760	0.3890	+0.0130	0.3760	0.3890	+0.0130	0.0000	0.0000	0.0000	0.0000
condition-1-en-5k	123	1	csqa	zh	en	0.5450	0.5500	+0.0050	0.5450	0.5500	+0.0050	0.0000	0.0000	0.0000	0.0000
