target_lang	template	benchmark	data	instr	matched_diagonal	condition	data_volume	matched_instr_for_this_condition	mean_acc_across_seeds	n_seeds
en	2	belebele	en	ur	n	baseline		n	0.7489	1
en	2	belebele	en	ur	n	condition-1-en-5k	5k	n	0.7611	3
en	2	belebele	en	ur	n	condition-1-en-20k	20k	n	0.7600	1
en	2	belebele	en	zh	n	baseline		n	0.8000	1
en	2	belebele	en	zh	n	condition-1-en-5k	5k	n	0.8015	3
en	2	belebele	en	zh	n	condition-1-en-20k	20k	n	0.7967	1
en	2	belebele	es	en	n	baseline		n	0.7011	1
en	2	belebele	es	en	n	condition-1-en-5k	5k	y	0.7096	3
en	2	belebele	es	en	n	condition-1-en-20k	20k	y	0.7189	1
en	2	belebele	es	es	y	baseline		n	0.6989	1
en	2	belebele	es	es	y	condition-1-en-5k	5k	n	0.6952	3
en	2	belebele	es	es	y	condition-1-en-20k	20k	n	0.6833	1
en	2	belebele	es	ur	n	baseline		n	0.6389	1
en	2	belebele	es	ur	n	condition-1-en-5k	5k	n	0.6456	3
en	2	belebele	es	ur	n	condition-1-en-20k	20k	n	0.6422	1
en	2	belebele	es	zh	n	baseline		n	0.7167	1
en	2	belebele	es	zh	n	condition-1-en-5k	5k	n	0.7193	3
en	2	belebele	es	zh	n	condition-1-en-20k	20k	n	0.7156	1
en	2	belebele	ur	en	n	baseline		n	0.6144	1
en	2	belebele	ur	en	n	condition-1-en-5k	5k	y	0.6200	3
en	2	belebele	ur	en	n	condition-1-en-20k	20k	y	0.6222	1
en	2	belebele	ur	es	n	baseline		n	0.5544	1
en	2	belebele	ur	es	n	condition-1-en-5k	5k	n	0.5622	3
en	2	belebele	ur	es	n	condition-1-en-20k	20k	n	0.5656	1
en	2	belebele	ur	ur	y	baseline		n	0.5233	1
en	2	belebele	ur	ur	y	condition-1-en-5k	5k	n	0.5256	3
en	2	belebele	ur	ur	y	condition-1-en-20k	20k	n	0.5156	1
en	2	belebele	ur	zh	n	baseline		n	0.6067	1
en	2	belebele	ur	zh	n	condition-1-en-5k	5k	n	0.6030	3
en	2	belebele	ur	zh	n	condition-1-en-20k	20k	n	0.6056	1
en	2	belebele	zh	en	n	baseline		n	0.7589	1
en	2	belebele	zh	en	n	condition-1-en-5k	5k	y	0.7637	3
en	2	belebele	zh	en	n	condition-1-en-20k	20k	y	0.7622	1
en	2	belebele	zh	es	n	baseline		n	0.7367	1
en	2	belebele	zh	es	n	condition-1-en-5k	5k	n	0.7352	3
en	2	belebele	zh	es	n	condition-1-en-20k	20k	n	0.7344	1
en	2	belebele	zh	ur	n	baseline		n	0.7000	1
en	2	belebele	zh	ur	n	condition-1-en-5k	5k	n	0.7093	3
en	2	belebele	zh	ur	n	condition-1-en-20k	20k	n	0.7033	1
en	2	belebele	zh	zh	y	baseline		n	0.7611	1
en	2	belebele	zh	zh	y	condition-1-en-5k	5k	n	0.7578	3
en	2	belebele	zh	zh	y	condition-1-en-20k	20k	n	0.7633	1
en	2	csqa	en	en	y	baseline		n	0.6070	1
en	2	csqa	en	en	y	condition-1-en-5k	5k	y	0.6113	3
en	2	csqa	en	en	y	condition-1-en-20k	20k	y	0.6160	1
en	2	csqa	en	es	n	baseline		n	0.6230	1
en	2	csqa	en	es	n	condition-1-en-5k	5k	n	0.6187	3
en	2	csqa	en	es	n	condition-1-en-20k	20k	n	0.6210	1
en	2	csqa	en	ur	n	baseline		n	0.5790	1
en	2	csqa	en	ur	n	condition-1-en-5k	5k	n	0.5860	3
en	2	csqa	en	ur	n	condition-1-en-20k	20k	n	0.5820	1
en	2	csqa	en	zh	n	baseline		n	0.6310	1
en	2	csqa	en	zh	n	condition-1-en-5k	5k	n	0.6363	3
en	2	csqa	en	zh	n	condition-1-en-20k	20k	n	0.6340	1
en	2	csqa	es	en	n	baseline		n	0.5170	1
en	2	csqa	es	en	n	condition-1-en-5k	5k	y	0.5260	3
en	2	csqa	es	en	n	condition-1-en-20k	20k	y	0.5270	1
en	2	csqa	es	es	y	baseline		n	0.5320	1
en	2	csqa	es	es	y	condition-1-en-5k	5k	n	0.5340	3
en	2	csqa	es	es	y	condition-1-en-20k	20k	n	0.5350	1
en	2	csqa	es	ur	n	baseline		n	0.4800	1
en	2	csqa	es	ur	n	condition-1-en-5k	5k	n	0.4830	3
en	2	csqa	es	ur	n	condition-1-en-20k	20k	n	0.4830	1
en	2	csqa	es	zh	n	baseline		n	0.5300	1
en	2	csqa	es	zh	n	condition-1-en-5k	5k	n	0.5293	3
en	2	csqa	es	zh	n	condition-1-en-20k	20k	n	0.5350	1
en	2	csqa	ur	en	n	baseline		n	0.4170	1
en	2	csqa	ur	en	n	condition-1-en-5k	5k	y	0.4197	3
en	2	csqa	ur	en	n	condition-1-en-20k	20k	y	0.4210	1
en	2	csqa	ur	es	n	baseline		n	0.3930	1
en	2	csqa	ur	es	n	condition-1-en-5k	5k	n	0.3940	3
en	2	csqa	ur	es	n	condition-1-en-20k	20k	n	0.3920	1
en	2	csqa	ur	ur	y	baseline		n	0.3920	1
en	2	csqa	ur	ur	y	condition-1-en-5k	5k	n	0.3920	3
en	2	csqa	ur	ur	y	condition-1-en-20k	20k	n	0.4000	1
en	2	csqa	ur	zh	n	baseline		n	0.4020	1
en	2	csqa	ur	zh	n	condition-1-en-5k	5k	n	0.4030	3
en	2	csqa	ur	zh	n	condition-1-en-20k	20k	n	0.4080	1
en	2	csqa	zh	en	n	baseline		n	0.5320	1
en	2	csqa	zh	en	n	condition-1-en-5k	5k	y	0.5323	3
en	2	csqa	zh	en	n	condition-1-en-20k	20k	y	0.5410	1
en	2	csqa	zh	es	n	baseline		n	0.5100	1
en	2	csqa	zh	es	n	condition-1-en-5k	5k	n	0.5043	3
en	2	csqa	zh	es	n	condition-1-en-20k	20k	n	0.5040	1
en	2	csqa	zh	ur	n	baseline		n	0.4660	1
en	2	csqa	zh	ur	n	condition-1-en-5k	5k	n	0.4663	3
en	2	csqa	zh	ur	n	condition-1-en-20k	20k	n	0.4750	1
en	2	csqa	zh	zh	y	baseline		n	0.5320	1
en	2	csqa	zh	zh	y	condition-1-en-5k	5k	n	0.5343	3
en	2	csqa	zh	zh	y	condition-1-en-20k	20k	n	0.5370	1
en	2	sib200	en	en	y	baseline		n	0.7206	1
en	2	sib200	en	en	y	condition-1-en-5k	5k	y	0.7092	3
en	2	sib200	en	en	y	condition-1-en-20k	20k	y	0.6863	1
en	2	sib200	en	es	n	baseline		n	0.5539	1
en	2	sib200	en	es	n	condition-1-en-5k	5k	n	0.5131	3
en	2	sib200	en	es	n	condition-1-en-20k	20k	n	0.4657	1
en	2	sib200	en	ur	n	baseline		n	0.3971	1
en	2	sib200	en	ur	n	condition-1-en-5k	5k	n	0.4232	3
en	2	sib200	en	ur	n	condition-1-en-20k	20k	n	0.4559	1
en	2	sib200	en	zh	n	baseline		n	0.6520	1
en	2	sib200	en	zh	n	condition-1-en-5k	5k	n	0.6503	3
en	2	sib200	en	zh	n	condition-1-en-20k	20k	n	0.6373	1
en	2	sib200	es	en	n	baseline		n	0.6765	1
en	2	sib200	es	en	n	condition-1-en-5k	5k	y	0.6585	3
en	2	sib200	es	en	n	condition-1-en-20k	20k	y	0.6422	1
en	2	sib200	es	es	y	baseline		n	0.5147	1
en	2	sib200	es	es	y	condition-1-en-5k	5k	n	0.5000	3
en	2	sib200	es	es	y	condition-1-en-20k	20k	n	0.4608	1
en	2	sib200	es	ur	n	baseline		n	0.3088	1
