condition	seed	benchmark	data	instr	matched_instr	matched_diagonal	t1_acc	t2_acc	delta_t2_t1	t1_count	t2_count	t1_correct	t2_correct
condition-1-en-20k	42	xnli	ur	ur	n	y	0.3403	0.3248	-0.0156	5010	5010	1705	1627
condition-1-en-20k	42	xnli	ur	zh	n	n	0.3333	0.2629	-0.0705	5010	5010	1670	1317
condition-1-en-20k	42	xnli	zh	en	y	n	0.4120	0.4042	-0.0078	5010	5010	2064	2025
condition-1-en-20k	42	xnli	zh	es	n	n	0.3337	0.3870	+0.0533	5010	5010	1672	1939
condition-1-en-20k	42	xnli	zh	ur	n	n	0.3423	0.3363	-0.0060	5010	5010	1715	1685
condition-1-en-20k	42	xnli	zh	zh	n	y	0.3331	0.2868	-0.0463	5010	5010	1669	1437
condition-1-en-5k	123	belebele	en	en	y	y	0.7778	0.7867	+0.0089	900	900	700	708
condition-1-en-5k	123	belebele	en	es	n	n	0.7622	0.7856	+0.0233	900	900	686	707
condition-1-en-5k	123	belebele	en	ur	n	n	0.7489	0.7600	+0.0111	900	900	674	684
condition-1-en-5k	123	belebele	en	zh	n	n	0.7889	0.8033	+0.0144	900	900	710	723
condition-1-en-5k	123	belebele	es	en	y	n	0.7000	0.7100	+0.0100	900	900	630	639
condition-1-en-5k	123	belebele	es	es	n	y	0.6733	0.6956	+0.0222	900	900	606	626
condition-1-en-5k	123	belebele	es	ur	n	n	0.6467	0.6500	+0.0033	900	900	582	585
condition-1-en-5k	123	belebele	es	zh	n	n	0.6933	0.7178	+0.0244	900	900	624	646
condition-1-en-5k	123	belebele	ur	en	y	n	0.6089	0.6233	+0.0144	900	900	548	561
condition-1-en-5k	123	belebele	ur	es	n	n	0.5278	0.5556	+0.0278	900	900	475	500
condition-1-en-5k	123	belebele	ur	ur	n	y	0.5289	0.5244	-0.0044	900	900	476	472
condition-1-en-5k	123	belebele	ur	zh	n	n	0.6011	0.6000	-0.0011	900	900	541	540
condition-1-en-5k	123	belebele	zh	en	y	n	0.7600	0.7656	+0.0056	900	900	684	689
condition-1-en-5k	123	belebele	zh	es	n	n	0.7011	0.7344	+0.0333	900	900	631	661
condition-1-en-5k	123	belebele	zh	ur	n	n	0.7156	0.7089	-0.0067	900	900	644	638
condition-1-en-5k	123	belebele	zh	zh	n	y	0.7756	0.7622	-0.0133	900	900	698	686
condition-1-en-5k	123	csqa	en	en	y	y	0.6110	0.6090	-0.0020	1000	1000	611	609
condition-1-en-5k	123	csqa	en	es	n	n	0.6070	0.6180	+0.0110	1000	1000	607	618
condition-1-en-5k	123	csqa	en	ur	n	n	0.5920	0.5870	-0.0050	1000	1000	592	587
condition-1-en-5k	123	csqa	en	zh	n	n	0.6400	0.6280	-0.0120	1000	1000	640	628
condition-1-en-5k	123	csqa	es	en	y	n	0.5290	0.5190	-0.0100	1000	1000	529	519
condition-1-en-5k	123	csqa	es	es	n	y	0.5300	0.5310	+0.0010	1000	1000	530	531
condition-1-en-5k	123	csqa	es	ur	n	n	0.4790	0.4800	+0.0010	1000	1000	479	480
condition-1-en-5k	123	csqa	es	zh	n	n	0.5440	0.5280	-0.0160	1000	1000	544	528
condition-1-en-5k	123	csqa	ur	en	y	n	0.4270	0.4210	-0.0060	1000	1000	427	421
condition-1-en-5k	123	csqa	ur	es	n	n	0.3930	0.3960	+0.0030	1000	1000	393	396
condition-1-en-5k	123	csqa	ur	ur	n	y	0.3990	0.3920	-0.0070	1000	1000	399	392
condition-1-en-5k	123	csqa	ur	zh	n	n	0.3890	0.3990	+0.0100	1000	1000	389	399
condition-1-en-5k	123	csqa	zh	en	y	n	0.5500	0.5300	-0.0200	1000	1000	550	530
condition-1-en-5k	123	csqa	zh	es	n	n	0.5030	0.5040	+0.0010	1000	1000	503	504
condition-1-en-5k	123	csqa	zh	ur	n	n	0.4790	0.4620	-0.0170	1000	1000	479	462
condition-1-en-5k	123	csqa	zh	zh	n	y	0.5270	0.5320	+0.0050	1000	1000	527	532
condition-1-en-5k	123	sib200	en	en	y	y	0.7500	0.7108	-0.0392	204	204	153	145
condition-1-en-5k	123	sib200	en	es	n	n	0.6618	0.5245	-0.1373	204	204	135	107
condition-1-en-5k	123	sib200	en	ur	n	n	0.4902	0.4167	-0.0735	204	204	100	85
condition-1-en-5k	123	sib200	en	zh	n	n	0.7108	0.6471	-0.0637	204	204	145	132
condition-1-en-5k	123	sib200	es	en	y	n	0.7549	0.6569	-0.0980	204	204	154	134
condition-1-en-5k	123	sib200	es	es	n	y	0.6471	0.5000	-0.1471	204	204	132	102
condition-1-en-5k	123	sib200	es	ur	n	n	0.4951	0.3529	-0.1422	204	204	101	72
condition-1-en-5k	123	sib200	es	zh	n	n	0.6373	0.5784	-0.0588	204	204	130	118
condition-1-en-5k	123	sib200	ur	en	y	n	0.6912	0.6716	-0.0196	204	204	141	137
condition-1-en-5k	123	sib200	ur	es	n	n	0.5245	0.5637	+0.0392	204	204	107	115
condition-1-en-5k	123	sib200	ur	ur	n	y	0.5637	0.5441	-0.0196	204	204	115	111
condition-1-en-5k	123	sib200	ur	zh	n	n	0.5539	0.5343	-0.0196	204	204	113	109
condition-1-en-5k	123	sib200	zh	en	y	n	0.7451	0.6667	-0.0784	204	204	152	136
condition-1-en-5k	123	sib200	zh	es	n	n	0.5882	0.5441	-0.0441	204	204	120	111
condition-1-en-5k	123	sib200	zh	ur	n	n	0.5196	0.4853	-0.0343	204	204	106	99
condition-1-en-5k	123	sib200	zh	zh	n	y	0.6716	0.6275	-0.0441	204	204	137	128
condition-1-en-5k	123	xnli	en	en	y	y	0.5218	0.3617	-0.1601	5010	5010	2614	1812
condition-1-en-5k	123	xnli	en	es	n	n	0.4122	0.3916	-0.0206	5010	5010	2065	1962
condition-1-en-5k	123	xnli	en	ur	n	n	0.4353	0.2421	-0.1932	5010	5010	2181	1213
condition-1-en-5k	123	xnli	en	zh	n	n	0.3335	0.3715	+0.0379	5010	5010	1671	1861
condition-1-en-5k	123	xnli	es	en	y	n	0.4689	0.3607	-0.1082	5010	5010	2349	1807
condition-1-en-5k	123	xnli	es	es	n	y	0.4581	0.3796	-0.0784	5010	5010	2295	1902
condition-1-en-5k	123	xnli	es	ur	n	n	0.3553	0.3124	-0.0429	5010	5010	1780	1565
condition-1-en-5k	123	xnli	es	zh	n	n	0.3337	0.3557	+0.0220	5010	5010	1672	1782
condition-1-en-5k	123	xnli	ur	en	y	n	0.4375	0.3339	-0.1036	5010	5010	2192	1673
condition-1-en-5k	123	xnli	ur	es	n	n	0.3846	0.3798	-0.0048	5010	5010	1927	1903
