condition	seed	template	benchmark	data	instr	n	orig_acc	repar_acc	delta_acc	orig_pf	repar_pf	delta_pf
condition-1-en-20k	42	1	belebele	es	en	None	0.7000	0.7000	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	belebele	es	es	None	0.6667	0.6667	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	belebele	es	ur	None	0.6344	0.6344	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	belebele	es	zh	None	0.6989	0.6989	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	belebele	ur	en	None	0.6144	0.6144	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	belebele	ur	es	None	0.5389	0.5389	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	belebele	ur	ur	None	0.5233	0.5233	+0.0000	0.0011	0.0011	+0.0000
condition-1-en-20k	42	1	belebele	ur	zh	None	0.5944	0.5944	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	belebele	zh	en	None	0.7600	0.7600	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	belebele	zh	es	None	0.7011	0.7011	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	belebele	zh	ur	None	0.7044	0.7044	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	belebele	zh	zh	None	0.7656	0.7656	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	csqa	en	en	None	0.6150	0.6150	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	csqa	en	es	None	0.6140	0.6140	+0.0000	0.0010	0.0010	+0.0000
condition-1-en-20k	42	1	csqa	en	ur	None	0.5930	0.5930	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	csqa	en	zh	None	0.6520	0.6520	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	csqa	es	en	None	0.5370	0.5370	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	csqa	es	es	None	0.5230	0.5230	+0.0000	0.0010	0.0010	+0.0000
condition-1-en-20k	42	1	csqa	es	ur	None	0.4830	0.4830	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	csqa	es	zh	None	0.5530	0.5530	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	csqa	ur	en	None	0.4320	0.4320	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	csqa	ur	es	None	0.3940	0.3940	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	csqa	ur	ur	None	0.4020	0.4020	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	csqa	ur	zh	None	0.3960	0.3960	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	csqa	zh	en	None	0.5490	0.5490	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	csqa	zh	es	None	0.5110	0.5110	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	csqa	zh	ur	None	0.4830	0.4830	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	csqa	zh	zh	None	0.5360	0.5360	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	sib200	en	en	None	0.7549	0.7549	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	sib200	en	es	None	0.6176	0.6176	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	sib200	en	ur	None	0.3873	0.4951	+0.1078	0.3235	0.0833	-0.2402
condition-1-en-20k	42	1	sib200	en	zh	None	0.6961	0.6961	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	sib200	es	en	None	0.7745	0.7745	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	sib200	es	es	None	0.5980	0.6029	+0.0049	0.0098	0.0000	-0.0098
condition-1-en-20k	42	1	sib200	es	ur	None	0.2304	0.5147	+0.2843	0.6225	0.0980	-0.5245
condition-1-en-20k	42	1	sib200	es	zh	None	0.5931	0.6225	+0.0294	0.0588	0.0196	-0.0392
condition-1-en-20k	42	1	sib200	ur	en	None	0.7010	0.6863	-0.0147	0.0000	0.0147	+0.0147
condition-1-en-20k	42	1	sib200	ur	es	None	0.4657	0.5000	+0.0343	0.0490	0.0245	-0.0245
condition-1-en-20k	42	1	sib200	ur	ur	None	0.2255	0.5686	+0.3431	0.4657	0.0147	-0.4510
condition-1-en-20k	42	1	sib200	ur	zh	None	0.5245	0.5245	+0.0000	0.0000	0.0098	+0.0098
condition-1-en-20k	42	1	sib200	zh	en	None	0.7794	0.7647	-0.0147	0.0049	0.0196	+0.0147
condition-1-en-20k	42	1	sib200	zh	es	None	0.4951	0.5490	+0.0539	0.0784	0.0000	-0.0784
condition-1-en-20k	42	1	sib200	zh	ur	None	0.2206	0.5294	+0.3088	0.6078	0.1127	-0.4951
condition-1-en-20k	42	1	sib200	zh	zh	None	0.5539	0.6471	+0.0931	0.1275	0.0049	-0.1225
condition-1-en-20k	42	1	xnli	en	en	None	0.5166	0.5166	+0.0000	0.0006	0.0006	+0.0000
condition-1-en-20k	42	1	xnli	en	es	None	0.4457	0.4457	+0.0000	0.0002	0.0002	+0.0000
condition-1-en-20k	42	1	xnli	en	ur	None	0.4677	0.4677	+0.0000	0.0006	0.0004	-0.0002
condition-1-en-20k	42	1	xnli	en	zh	None	0.3329	0.3329	+0.0000	0.0000	0.0000	+0.0000
condition-1-en-20k	42	1	xnli	es	en	None	0.4677	0.4677	+0.0000	0.0004	0.0004	+0.0000
