condition	target_lang	seed	template	benchmark	data	instr	matched_diagonal	matched_instr	baseline_acc	cond_1_en_5k_acc	cond_acc	delta_vs_baseline	delta_en_finetune_only	delta_language_specific
condition-2-es-5k	es	123	1	xnli	en	en	y	n	0.4998	0.5226	0.5244	+0.0246	+0.0228	+0.0017
condition-2-es-5k	es	123	1	xnli	en	es	n	y	0.3980	0.4161	0.4840	+0.0860	+0.0181	+0.0679
condition-2-es-5k	es	123	1	xnli	es	en	n	n	0.4525	0.4687	0.4756	+0.0232	+0.0162	+0.0069
condition-2-es-5k	es	123	1	xnli	es	es	y	y	0.4547	0.4623	0.4721	+0.0174	+0.0077	+0.0097
condition-2-es-5k	es	123	1	xnli	ur	en	n	n	0.4343	0.4375	0.4437	+0.0094	+0.0032	+0.0062
condition-2-es-5k	es	123	1	xnli	ur	es	n	y	0.3727	0.3844	0.4405	+0.0679	+0.0117	+0.0562
condition-2-es-5k	es	123	1	xnli	zh	en	n	n	0.3906	0.4034	0.4222	+0.0315	+0.0128	+0.0188
condition-2-es-5k	es	123	1	xnli	zh	es	n	y	0.3333	0.3333	0.3513	+0.0180	+0.0000	+0.0180
condition-2-es-5k	es	123	2	belebele	en	en	y	n	0.7822	0.7870	0.7822	+0.0000	+0.0048	-0.0048
condition-2-es-5k	es	123	2	belebele	en	es	n	y	0.7756	0.7830	0.7900	+0.0144	+0.0074	+0.0070
condition-2-es-5k	es	123	2	belebele	es	en	n	n	0.7011	0.7096	0.7100	+0.0089	+0.0085	+0.0004
condition-2-es-5k	es	123	2	belebele	es	es	y	y	0.6989	0.6952	0.7111	+0.0122	-0.0037	+0.0159
condition-2-es-5k	es	123	2	belebele	ur	en	n	n	0.6144	0.6200	0.6289	+0.0144	+0.0056	+0.0089
condition-2-es-5k	es	123	2	belebele	ur	es	n	y	0.5544	0.5622	0.5956	+0.0411	+0.0078	+0.0333
condition-2-es-5k	es	123	2	belebele	zh	en	n	n	0.7589	0.7637	0.7622	+0.0033	+0.0048	-0.0015
condition-2-es-5k	es	123	2	belebele	zh	es	n	y	0.7367	0.7352	0.7456	+0.0089	-0.0015	+0.0104
condition-2-es-5k	es	123	2	csqa	en	en	y	n	0.6070	0.6113	0.6040	-0.0030	+0.0043	-0.0073
condition-2-es-5k	es	123	2	csqa	en	es	n	y	0.6230	0.6187	0.6240	+0.0010	-0.0043	+0.0053
condition-2-es-5k	es	123	2	csqa	es	en	n	n	0.5170	0.5260	0.5270	+0.0100	+0.0090	+0.0010
condition-2-es-5k	es	123	2	csqa	es	es	y	y	0.5320	0.5340	0.5450	+0.0130	+0.0020	+0.0110
condition-2-es-5k	es	123	2	csqa	ur	en	n	n	0.4170	0.4197	0.4220	+0.0050	+0.0027	+0.0023
condition-2-es-5k	es	123	2	csqa	ur	es	n	y	0.3930	0.3940	0.4030	+0.0100	+0.0010	+0.0090
condition-2-es-5k	es	123	2	csqa	zh	en	n	n	0.5320	0.5323	0.5420	+0.0100	+0.0003	+0.0097
condition-2-es-5k	es	123	2	csqa	zh	es	n	y	0.5100	0.5043	0.5070	-0.0030	-0.0057	+0.0027
condition-2-es-5k	es	123	2	sib200	en	en	y	n	0.7206	0.7092	0.6912	-0.0294	-0.0114	-0.0180
condition-2-es-5k	es	123	2	sib200	en	es	n	y	0.5539	0.5131	0.4902	-0.0637	-0.0408	-0.0229
condition-2-es-5k	es	123	2	sib200	es	en	n	n	0.6765	0.6585	0.6471	-0.0294	-0.0180	-0.0114
condition-2-es-5k	es	123	2	sib200	es	es	y	y	0.5147	0.5000	0.4755	-0.0392	-0.0147	-0.0245
condition-2-es-5k	es	123	2	sib200	ur	en	n	n	0.6814	0.6667	0.6618	-0.0196	-0.0147	-0.0049
condition-2-es-5k	es	123	2	sib200	ur	es	n	y	0.6127	0.5637	0.4314	-0.1814	-0.0490	-0.1324
condition-2-es-5k	es	123	2	sib200	zh	en	n	n	0.6961	0.6716	0.6471	-0.0490	-0.0245	-0.0245
condition-2-es-5k	es	123	2	sib200	zh	es	n	y	0.5588	0.5376	0.5000	-0.0588	-0.0212	-0.0376
condition-2-es-5k	es	123	2	xnli	en	en	y	n	0.3786	0.3565	0.3619	-0.0168	-0.0222	+0.0054
condition-2-es-5k	es	123	2	xnli	en	es	n	y	0.3806	0.3904	0.3824	+0.0018	+0.0097	-0.0079
condition-2-es-5k	es	123	2	xnli	es	en	n	n	0.3661	0.3547	0.3555	-0.0106	-0.0114	+0.0008
condition-2-es-5k	es	123	2	xnli	es	es	y	y	0.3770	0.3766	0.3794	+0.0024	-0.0004	+0.0028
condition-2-es-5k	es	123	2	xnli	ur	en	n	n	0.3357	0.3330	0.3335	-0.0022	-0.0027	+0.0005
condition-2-es-5k	es	123	2	xnli	ur	es	n	y	0.2499	0.3744	0.3954	+0.1455	+0.1245	+0.0210
condition-2-es-5k	es	123	2	xnli	zh	en	n	n	0.4649	0.4415	0.4244	-0.0405	-0.0234	-0.0171
condition-2-es-5k	es	123	2	xnli	zh	es	n	y	0.3637	0.3677	0.3559	-0.0078	+0.0041	-0.0118
condition-2-es-5k	es	42	1	belebele	en	en	y	n	0.7678	0.7781	0.7844	+0.0167	+0.0104	+0.0063
condition-2-es-5k	es	42	1	belebele	en	es	n	y	0.7611	0.7604	0.7689	+0.0078	-0.0007	+0.0085
condition-2-es-5k	es	42	1	belebele	es	en	n	n	0.6911	0.7000	0.7078	+0.0167	+0.0089	+0.0078
condition-2-es-5k	es	42	1	belebele	es	es	y	y	0.6722	0.6719	0.6756	+0.0033	-0.0004	+0.0037
condition-2-es-5k	es	42	1	belebele	ur	en	n	n	0.6044	0.6130	0.6111	+0.0067	+0.0085	-0.0019
condition-2-es-5k	es	42	1	belebele	ur	es	n	y	0.5389	0.5356	0.5656	+0.0267	-0.0033	+0.0300
condition-2-es-5k	es	42	1	belebele	zh	en	n	n	0.7500	0.7596	0.7633	+0.0133	+0.0096	+0.0037
condition-2-es-5k	es	42	1	belebele	zh	es	n	y	0.7033	0.7044	0.7300	+0.0267	+0.0011	+0.0256
condition-2-es-5k	es	42	1	csqa	en	en	y	n	0.6070	0.6120	0.6020	-0.0050	+0.0050	-0.0100
condition-2-es-5k	es	42	1	csqa	en	es	n	y	0.6040	0.6117	0.6070	+0.0030	+0.0077	-0.0047
condition-2-es-5k	es	42	1	csqa	es	en	n	n	0.5240	0.5303	0.5360	+0.0120	+0.0063	+0.0057
condition-2-es-5k	es	42	1	csqa	es	es	y	y	0.5290	0.5333	0.5400	+0.0110	+0.0043	+0.0067
condition-2-es-5k	es	42	1	csqa	ur	en	n	n	0.4240	0.4237	0.4140	-0.0100	-0.0003	-0.0097
condition-2-es-5k	es	42	1	csqa	ur	es	n	y	0.3960	0.3970	0.4080	+0.0120	+0.0010	+0.0110
condition-2-es-5k	es	42	1	csqa	zh	en	n	n	0.5450	0.5527	0.5540	+0.0090	+0.0077	+0.0013
condition-2-es-5k	es	42	1	csqa	zh	es	n	y	0.5000	0.5067	0.5060	+0.0060	+0.0067	-0.0007
condition-2-es-5k	es	42	1	sib200	en	en	y	n	0.7549	0.7533	0.7598	+0.0049	-0.0016	+0.0065
condition-2-es-5k	es	42	1	sib200	en	es	n	y	0.6618	0.6487	0.6716	+0.0098	-0.0131	+0.0229
condition-2-es-5k	es	42	1	sib200	es	en	n	n	0.7745	0.7582	0.7696	-0.0049	-0.0163	+0.0114
condition-2-es-5k	es	42	1	sib200	es	es	y	y	0.6520	0.6389	0.6422	-0.0098	-0.0131	+0.0033
